Genes	log2FoldChange
PI4KA	-2.989142747
ORC1L	4.587948635
RP2	2.373356396
SGOL1	5.75238972
DCTN1	-2.034897698
CDCA8	4.276685838
SPARC	3.063656004
GOT1	-2.988304772
KLC2	-2.507309799
IKBIP	2.946733341
CDC25C	5.559597544
SPC25	4.746988769
E2F8	6.307413298
CLSTN3	-3.119086202
MAST3	-3.793777433
LOC728643	-3.939167584
AAK1	-2.663767219
SYNGR1	-3.631559489
CKAP2L	4.308486261
YWHAH	-2.63623434
PNMAL2	-4.137429718
HMMR	4.737114287
E2F2	5.475140752
CPEB3	-3.312741968
AKAP5	-4.113176674
PRRT1	-3.749781493
NCAPH	4.152699615
MDK	4.027040406
RAB11FIP2	-2.004733527
OIP5	4.807494445
ASPM	4.840153585
RAD51AP1	3.676889095
WDR47	-2.134011665
SMC4	2.79976181
PABPC3	2.447766445
HOXA7	8.857086302
NEDD1	2.067418942
RAB6C	-2.311517703
FBXW7	-2.823050543
TNFRSF19	3.828348909
TTC7B	-2.379510893
TPX2	3.787570657
NCDN	-3.763880408
HOXA10	7.947437586
NCOA7	-2.798583878
ATL1	-2.895670244
RBBP8	2.494328675
PNMAL1	-2.434977508
HERC1	-2.384310131
LPCAT4	-2.43663382
TSPAN6	3.052417246
IGF2BP3	5.288601729
CASP6	2.499266842
RAB42	4.680332351
CCDC80	3.424915865
NAP1L5	-2.552905188
EPB41L1	-2.726598923
AKAP11	-2.205724616
CASC5	5.05613068
LOC283070	-3.249364816
PSD3	-3.113936536
TUBA1C	4.140227009
MCM10	5.120115125
NUAK1	-3.110632241
SKA3	4.356726089
AACS	-2.046138002
C11orf82	3.606616418
SMO	2.809136754
ENPEP	3.855935622
KRT222	-3.163106228
GNG5	2.528190975
SPRYD3	-2.560984294
CHIC1	-2.124758312
DTNB	-2.078550962
GPX7	3.008765503
C17orf107	-3.3647133
CLCN4	-3.069746557
GFOD1	-3.570032162
CENPM	4.404995808
APBB1	-2.333223502
BTN2A2	2.040426218
ACTL6A	2.572173187
BTBD9	-2.40147755
EFHA2	-3.085981591
MOAP1	-2.433750157
DPEP1	7.203111398
MYD88	2.226615802
SLC9A6	-2.185651502
LRP11	-2.392658741
TRIM5	2.972935196
KLC1	-2.542544247
KIF15	4.136937907
LOC283267	-2.049023729
RCC1	3.908695952
STK32C	-3.025802046
RASGRF2	-4.270299381
ANKRD34A	-3.408830675
SLC25A22	-2.709242416
CHST14	2.335848454
EXO1	4.142398557
ITPRIPL1	3.094544401
SAMD12	-4.309941332
SERPINH1	3.643538341
CHEK2	3.03443659
APOBEC3B	5.219846465
HYAL2	2.193993899
MAP1A	-3.321741734
VAMP2	-2.708021144
KIAA1107	-3.754213028
YPEL2	-2.325800687
AURKA	3.199948182
SCN8A	-4.122798293
SCN2A	-4.093572656
DLG3	-2.643888748
PTTG1	3.603461961
KIF3C	-2.868315931
GABARAPL1	-2.833087903
RAPGEF2	-2.22616616
SHCBP1	3.121781326
SEMA4A	-3.580410408
IDH1	2.473452333
NIPA1	-2.535129646
MAPRE3	-2.499494869
FKBP10	2.807550556
FANCD2	3.370137884
EN1	7.429314191
CHN1	-3.30049391
MAP3K10	-2.800146056
WBP11P1	-2.730281313
PLEKHM3	-2.460237792
PRKAR1B	-3.065710942
NCRNA00087	-4.128293535
MEF2D	-2.184971265
LOXL3	2.301530264
CACNB1	-3.318870322
FAM60A	3.773060255
CD276	2.569495043
PPIP5K1	-2.229161311
DYNLT1	2.85028014
GNG12	2.368919561
STXBP1	-3.857408806
CLIC1	3.179814521
KCNMA1	-2.932182355
NCS1	-3.260153829
BCL2L2	-2.697085858
HOXA5	8.550054733
IQSEC2	-2.918831975
KCNAB2	-3.95016223
MMP9	6.790304609
RUSC2	-2.766586831
TACC3	3.25711904
SSBP3	-2.484445201
KCNAB1	-3.634121456
WDR37	-2.004160403
NR5A2	4.377880707
CKS2	3.754186162
NAPB	-4.273166966
WDR76	3.113671261
GPRASP1	-3.296672682
IL12RB2	-4.925571286
ARHGAP11A	3.235596259
HOXD10	8.475668585
STXBP5	-3.359244809
SLC43A3	2.624548077
HOXA3	7.614911779
PPP1R3F	-2.628031558
C9orf91	-2.018582023
FAM54A	3.788342134
HOXC10	8.14384816
KCNQ3	-3.685915952
NPTN	-2.01015256
PLK1	3.726485371
ENC1	-3.628097684
PLEKHG2	2.783887843
BCL2L12	2.928049938
41156	-2.983045947
PPIL5	2.648265315
IQSEC1	-2.418460917
LMNB1	3.443649723
GPR65	4.113610571
POLE2	4.194942756
NKX2-5	7.944356005
NEIL3	4.251369477
SV2A	-2.337203537
DIXDC1	-2.260640098
POLR3A	-2.059279984
PRAP1	-4.272710628
ANGPT2	3.716773721
HOXD9	7.904263065
TLN2	-2.680198413
ANKRD19	-2.811794028
FAIM2	-3.576216917
NUP37	2.149546125
KLHL2	-2.364802465
CNKSR2	-3.876373231
MFSD4	-4.137679305
ERCC6L	3.83496264
PWWP2B	-2.032852257
GPX8	4.603882247
PPM1H	-3.306775853
TCF19	3.154763493
ANXA2P2	3.914566823
PPFIA3	-3.479114494
MYCBP	2.269608346
DNAJC6	-3.620641107
GPR82	5.651306384
MGC23284	-2.218507287
TFPI	4.247167954
DEPDC1	3.801850903
HDAC11	-2.634255548
CMIP	-2.285999036
KALRN	-3.187600179
PCNA	2.365703608
GRIN3A	-4.63533148
ITPR1	-3.114559711
ANXA5	2.714872803
C1orf226	2.925595387
FANCI	3.091989725
DLG2	-3.967559693
PELI3	-2.469557265
SCAMP5	-2.649609663
TP53	2.483974355
HOXA4	7.476807684
GAL3ST4	2.350407483
MKL2	-2.332776243
ANK3	-4.088464444
C1orf115	-4.155994993
RAPGEFL1	-3.113291242
HOXB7	6.909024352
STX1A	-3.994366117
TPRG1L	-2.4197644
CBX7	-3.101179148
MYO5A	-2.766700582
HOXB3	6.646125035
HSP90AB2P	-2.953530494
KIAA0284	-3.450099848
GDAP1	-2.33133462
FSTL1	2.727417487
C11orf41	-3.256272487
GINS2	3.340604083
GJC1	2.271195696
GSC	6.565204018
IPCEF1	-4.069407895
KCNH3	-4.085072518
POLQ	3.886090573
PYGL	3.045834796
NES	3.321659891
ID3	3.236813402
C1orf112	2.005277548
TEF	-2.979349597
GABARAPL3	-3.256893475
PRIM2	2.043280496
JUB	3.052104189
METTL7B	5.284574799
MFSD6	-2.627629888
CDKN2D	-2.584107496
PLP2	3.915781388
PITX1	7.194323903
PDP1	-2.59393817
INPP5A	-2.085305097
TMEM45A	3.642482572
FBXO44	-2.012738571
TP53I3	2.53703067
CLSTN1	-2.117753701
GARNL3	-2.644258864
TSPYL4	-2.325016705
FAM111A	2.475598155
CAP2	-2.496257708
RAB40B	-3.020594488
CASP4	3.272366957
CRISPLD1	3.328230713
TNC	3.672917574
HOXD11	7.582027132
DHRSX	2.135477023
CKLF	2.303685771
MBNL2	-2.069858493
SGIP1	-3.267166893
ARHGEF9	-2.27611438
GSG2	3.915493217
PDIA4	2.387841755
SYP	-4.117882498
SCAI	-2.223348263
ROGDI	-2.380198987
NPTXR	-3.727781539
PTK7	2.425659857
ADAMDEC1	7.983203254
PARK2	-2.227188912
EDARADD	2.739932772
EPB49	-3.875787396
BSN	-4.461113325
CACNB4	-2.880727241
TMOD2	-2.589889865
SRPX2	5.124246134
THRB	-3.10342853
COL4A2	3.620081854
CENPH	2.978137258
TGFBI	4.568393711
PPIC	2.852809527
EME1	3.201839188
HK1	-2.064464199
HSPA12A	-3.678845225
STEAP3	3.785611504
PDPN	4.07413319
ATP9A	-2.456440065
ACTR3B	-2.094223861
BAIAP2	-2.124122515
NEDD4	2.117484931
HELLS	3.769332578
EEF1A1P9	-2.445013352
RHOC	2.335243507
CYFIP2	-2.706682144
ERI1	2.064169002
HEATR7A	-2.073374009
SIGLEC7	4.165247191
SNPH	-2.868059728
FAM46A	2.999170631
MSR1	3.735574272
NECAB1	-3.326810254
ABCC3	5.404490531
KIF18B	3.958075686
ADAM11	-4.148347022
LIMA1	2.72350397
SPTBN4	-3.257369783
DNM1	-4.13083554
IGSF8	-2.136147259
HOXD13	7.861548896
DGKE	-3.813850638
OSBPL1A	-2.044000762
ABLIM2	-3.218878494
ANXA1	3.985664907
CALM1	-2.081785622
HAS2	3.790133219
NAP1L3	-2.742248234
ABR	-2.150359608
MMP14	3.656146925
LOC100271831	7.807096737
HOXA1	6.230713528
FBXO5	2.450284495
FAM174B	-2.561949258
DTYMK	2.458835939
ERC2	-3.818829916
FANCC	2.287309632
HOXD8	6.858526335
TSPYL2	-2.815770482
NID1	3.321753757
ARHGEF33	-2.68436776
C12orf51	-2.346590641
TAGLN2	2.962673212
ADRBK2	-2.414081578
UHRF1	3.736555409
CSTA	4.621998108
MEOX2	5.649173513
DNAJA4	-3.005236393
IFI30	3.6835613
TOM1L2	-2.054166251
ANG	3.057336054
MS4A6A	4.007609412
CRY2	-2.278925648
EHD3	-3.004347091
RAB15	-2.718308016
DLEU1	2.738155006
SCN2B	-4.336416898
CNN3	2.280941006
CAMKK1	-3.955948637
SEMA4D	-3.10293104
CPXM1	3.905118161
ADARB1	-2.62890065
ITPKA	-3.435535429
EMP3	3.507424732
HAUS8	2.248666472
PRKCB	-4.369523231
DEPDC1B	3.601643221
ABCA2	-3.179539214
CD99	2.905800031
OPRL1	-2.2934079
HOXA2	7.705769391
PTER	-4.482208424
KDELC1	2.501053672
APOBEC3C	3.206113993
LOXHD1	-5.755846653
CENPI	3.817602258
IDS	-2.651608878
LMTK2	-2.986312921
MTHFD2	3.102839704
STX1B	-4.027721357
PAK6	-3.842598001
ST14	3.805710093
CNNM2	-2.10985774
EFR3B	-2.21593135
LMO7	-2.628829238
RGS7BP	-4.267533002
SNURF	-2.4547181
CALD1	2.170422526
PDE1B	-3.605726376
MAPK8IP3	-2.809511025
FCGRT	2.221920082
KIAA0427	-2.291470893
LARP6	-2.109535143
RPLP0	2.358329826
ANKRD56	-5.142382994
NT5DC2	2.573280825
RAPGEF4	-3.735213082
PRRX1	2.645251636
CDKN2C	3.194205363
C12orf48	2.778760595
CBX6	-2.715642226
ATP2B1	-2.208989715
FAM13C	-2.640000928
NXT1	2.407749607
SH3GLB2	-2.027675067
KIF5C	-3.131866623
ANXA2	3.425622483
FBXO41	-3.216642872
MYOM2	-2.616964293
RAB13	2.154837842
NOS1AP	-3.130471002
MTUS2	-4.809003371
MSN	2.166328581
APBA1	-2.998152566
CDC20	3.38033886
TIMP4	4.260115437
OPTN	-2.054725713
HMGB2	2.285458068
PHLPP2	-2.047472549
BRSK1	-2.653846385
DSCC1	2.051002565
LARGE	-2.530618194
FLVCR2	2.413222077
KIAA1467	-2.07309379
FN3K	-2.103621457
SPRN	-3.074350877
LOC374443	2.325396751
PCDHAC2	-2.874341733
DBF4	2.395082644
ANO6	2.046258833
CDKL5	-4.743163493
PRDX4	2.726148618
RAD54B	2.214498322
LOC341056	-2.162544294
CA11	-3.623589191
RAB3A	-4.196570652
LONRF2	-3.258969108
CPNE9	-4.834563981
HIPK4	-4.943996013
TBC1D24	-2.013398836
KDELC2	2.294836198
CRYGN	-4.843914242
KIF11	2.965119719
PITPNM3	-3.945484347
CACNB3	-2.39967484
PRRT3	-2.203343492
CYTH1	-2.061945039
SPC24	4.252904859
TRIM21	2.279304066
LYNX1	-2.97800386
ARRB1	-2.597168977
TARSL2	-2.077818965
SYNGAP1	-2.178233269
PIP4K2A	-2.986720075
MMP2	3.696457338
FAM49A	-2.066567074
PRR11	2.89395771
RAB11FIP4	-3.823799245
TMEM218	2.135790236
NEK2	3.360270737
C4orf44	-3.474477549
HOXC6	5.951209392
C21orf62	4.146640451
CRTC1	-2.055114786
E2F5	2.169085188
PSMB8	2.793785641
IRX5	5.275685286
C17orf28	-2.707763378
RAPGEF3	-2.66268743
CD58	2.898456707
CDCA4	2.558811888
PPP1R13B	-2.219525404
ZNF365	-3.242490496
MATK	-4.164618
CYP46A1	-3.31009515
PLEK2	3.683972088
LRRC8B	-2.366163559
MTMR7	-3.332702563
GPR61	-4.591386922
FOXD1	3.294713561
FCHO1	-3.289891668
MEX3A	3.755994769
NBEA	-2.952823297
TPRN	-2.021862727
CYP19A1	4.542586538
DOCK9	-2.656529544
SPINK8	5.585230916
ATP8A1	-3.670875109
SGOL2	2.329856146
LMTK3	-2.703280515
CXCR4	2.863055005
HIVEP2	-2.271947983
INPP5F	-2.892778015
KCNC4	-2.871649169
IQGAP3	3.281948245
ANKRD43	-4.088565048
ARHGAP32	-2.274121429
SPTBN2	-3.843710928
GINS1	2.580204802
NCRNA00086	-3.264753357
SNCA	-3.942787779
MAPK8IP2	-3.344757543
SLC16A4	3.173501053
SHANK3	-2.812989135
MYADML2	-3.24129109
S100A11	3.116247297
S1PR3	2.852610393
HPD	6.258070633
SH2D5	-4.466738685
TULP4	-2.213218016
ProSAPiP1	-2.495430447
RICH2	-4.456147235
TBC1D9	-2.381601629
KIAA1109	-2.098238549
MAGEE1	-3.559214511
GRASP	-2.59353566
MCM2	2.655780584
CCNB1	2.867935142
TNFRSF12A	3.394627001
CASKIN1	-3.846156675
STON1	3.253344106
TBX15	3.522846174
ADRA1B	-3.723520272
B2M	2.58077443
IGFBP7	3.0702682
SIRPB1	-2.768725487
C15orf27	-3.092690056
SLC3A1	-2.063104271
RAB6B	-2.629432472
TTBK2	-2.414298046
FUT1	-2.514823708
KIAA0040	3.080730727
LOXL2	3.578687064
EXD1	-4.238155115
GAPT	3.571601423
NRIP2	-2.743750264
ATP6V0E1	2.028740417
EXOC3L2	4.636813088
GAS2L3	3.512241666
PDZD7	-3.805543584
ANTXR2	2.676376662
MFAP2	4.954952867
DRAM1	2.53434795
TK1	2.740389734
CLMN	-2.575172207
LOC338758	-2.465157864
NMI	2.471274873
HOXB4	6.819345483
GNAZ	-2.249943717
MDFI	3.963486506
P2RX5	-2.458262548
C13orf34	2.050122508
ADAP1	-3.73956164
PDE2A	-4.160015019
C4orf47	3.861620479
C9orf172	-2.681472998
TTC26	2.334661172
PHEX	3.766878845
RHOBTB2	-2.05999033
PPP1R14B	2.033791797
CNTNAP1	-2.369111442
HNF4G	3.298112656
FN1	3.263517652
HOXB2	5.694094291
KCNC3	-3.074466053
PPP1R12B	-2.111571575
MR1	2.400629246
VWA5B2	-4.112238524
TIMELESS	2.290861633
ATOH7	-3.733947816
ZFYVE28	-2.164645993
OTP	5.892129332
PGBD5	-2.699689893
BARD1	2.40978178
SH3BGRL2	-2.565425548
AGTPBP1	-2.040643731
TYRO3	-2.137988886
MAP7	-3.084765051
PDCD1LG2	3.903783441
RNF135	2.082084162
MAP7D3	2.067832167
C1orf70	-2.016063192
PLEKHA4	3.120334902
ECSCR	2.891907949
PNCK	-3.901667398
AMIGO1	-2.178831433
RTN4R	-3.501901527
C17orf53	2.271363578
SUN2	-2.183567188
AP3B2	-2.889466846
CAMK2N1	-2.688910363
CSRP2	3.033736638
TMEM71	3.761702568
APOL4	4.242256678
CPEB1	-2.650316796
CHEK1	2.070937123
RNASEH2A	2.316077616
DZIP1L	2.096243579
HOXA11	7.118550143
TEAD2	3.16261549
SPOCD1	4.726592328
PDZD4	-2.689808196
HOXD4	6.1718538
GUSB	2.042975334
ABCG4	-3.734422653
CASP8	2.169668977
LIMD1	2.154886892
C6orf27	-4.24478091
FKBP7	2.554328021
CA9	5.620152584
SCN3B	-4.392444441
BIN1	-2.375169058
ATP1B1	-2.931165276
TNFSF13B	3.308944007
ACOT7	-2.347105013
IGSF22	-2.552818879
GUSBL1	-2.259112096
MICAL2	-3.376908854
CALHM1	-5.074445301
LAMC1	2.782037266
TMEM59L	-2.381404161
RPLP0P2	-3.611436973
UBD	4.929202596
CDCA7L	2.852301913
PVT1	2.38419443
STK17B	2.184686585
MEST	3.417206635
BRIP1	3.428913164
C2orf28	2.009321677
SV2C	-5.451713014
INF2	-2.103007404
CBFA2T3	-3.297623624
CNP	-2.54876467
NKX3-2	6.121684369
RAPGEF5	-3.22749038
CACNA1I	-4.956840488
GIMAP2	2.542922068
RYR2	-5.710314866
REPS2	-3.954003718
NEURL	-4.197477632
PDE1A	-3.769760797
COL3A1	5.057776865
QDPR	-2.396099097
ATP6V1B1	3.949511077
ZNF483	-2.706210653
FNDC3B	2.162644536
HAUS1	2.22768412
NNMT	4.9654745
TGIF2	2.221611605
GPR21	-3.791568064
CENPF	3.305163101
TPPP	-4.276055245
FBXO40	-4.848363599
GALNTL6	-5.328643099
FAM171A1	-2.326564756
HAND2	6.498809392
CERCAM	-2.595851906
FBXL16	-3.991344496
BMP1	2.248298179
C9orf171	5.371282029
CHI3L1	5.417048718
PRR18	-3.40962485
LYPLA1	2.157402378
GRAMD1B	-2.930657662
MAP3K9	-3.997936425
RIMS3	-3.688853508
NAP1L2	-3.596638455
ICAM5	-4.750938484
PRKCG	-5.63160555
HOXC9	6.288942909
FAM19A2	-4.24126088
WDR17	-2.366879205
PGM2L1	-2.63501523
APLP1	-2.930514099
HOXC8	6.977221132
ATP2B2	-3.435897206
ITGA1	2.733547492
CD248	3.231136498
PLAC2	-3.363912918
DDN	-5.119422694
SPTB	-4.1989206
UNC80	-3.020171982
PHYHIP	-4.485906483
AFAP1L1	2.95765731
CENPE	2.974799397
NRXN3	-4.21562168
NRIP3	-3.536453665
CAMK2G	-2.339116137
SLC4A10	-4.054003721
YPEL4	-3.035728886
C3orf49	-2.538702899
C4orf50	-5.232738898
CABLES1	-2.805847161
INPP5J	-2.993901274
PRPH2	-3.899763417
NIPAL3	-2.628643591
NAT1	2.84521612
SLC2A13	-2.723387835
SLC7A7	2.631798955
PANX2	-2.87538795
CD44	3.017468666
PARP9	2.229210751
MS4A4A	3.776953815
SLC12A5	-5.216426642
DOCK3	-3.279472077
FRRS1	4.436573182
GMNN	2.180181647
RAD54L	2.716198739
PROS1	2.952200524
KIAA1045	-4.676390939
DUSP8	-3.031980272
KLHL3	-2.752374914
FCER1G	2.925072696
SLC30A3	-4.964434435
PTPN7	2.767089932
LOC151534	2.995673931
PPP4R4	-4.89406415
TTLL7	-2.506638589
BRCA2	2.899543395
CAMK4	-3.557285887
KCNJ4	-4.377352818
FLJ37307	-4.044841091
LHX6	-3.792361695
NRGN	-4.296084354
RXFP1	-5.305264099
POSTN	6.322455698
TREM1	4.939723321
NMB	3.42996171
DENND2D	2.959984048
CPVL	3.128457239
OSR2	5.018020011
C1QTNF4	-3.682896978
S100A4	3.732209182
RAP1GAP	-2.967665258
EML2	-2.22037766
CYP2C18	-5.355612957
SBF1	-2.099705963
FIBIN	2.069776375
HAS2AS	2.86683596
HLF	-3.504052708
GBP2	3.015384532
RTN4RL1	-4.568961985
MACC1	3.671387375
MFNG	2.137275379
MYH7B	-4.219829269
DLGAP3	-4.236310126
PNMA5	-5.405054979
41155	-3.193037249
ZWINT	2.439520829
CETP	3.292473491
ARHGAP23	-2.060607298
RFPL1S	-4.439496595
ANK2	-2.186961788
CREG2	-5.063973384
CLEC5A	3.79921882
GINS4	2.34301263
FAM81A	-3.088971557
PHACTR1	-3.042298502
GRIN2B	-5.161567474
C7orf51	-2.667290966
CACNA1F	-3.880125732
FPR3	3.656533015
NTN1	2.529139183
BTN3A2	2.469658602
ATP8A2	-5.477136349
KIAA0319	-3.766359772
TMEM155	-4.360702341
C6orf154	-2.950325876
CD151	2.271367568
FLJ40852	2.435765021
GNAL	-4.270169531
PLAU	3.594824565
RASGRF1	-4.61307993
BSCL2	-2.172428743
GLT1D1	-4.437518821
SNX32	-2.678606568
CORT	-3.231516919
LPL	3.488723003
FOXD3	5.647305523
SGSM1	-3.94184976
GUCY1B3	-2.581678994
KIAA0748	-5.01327843
VIPR1	-3.620418715
CASP1	2.812551463
MGAT3	-2.895458031
MPP7	-4.187428725
STOX2	-2.738466585
LEFTY2	4.433371944
LOC400043	2.749621047
PIF1	3.141745636
PLEKHG3	-2.842610135
ITGA5	2.742807957
CLDN7	3.1955781
PSD	-3.943614172
AKAP6	-2.381743685
CDYL2	-2.867937446
BTN2A3	2.803779493
SERINC2	3.497288351
GNAO1	-2.71580569
PCLO	-4.541809663
OSTC	2.064355475
KLHDC8A	3.329001314
JAKMIP3	-3.656678016
PLEKHG5	-2.431620985
CD93	2.703579686
ARHGDIB	2.145058707
PDXP	-2.458161542
CA3	5.447288585
SNCG	-4.256335973
MAPK10	-2.013057365
SERPINI1	-3.786800447
NECAB2	-4.030572258
C2CD4C	-3.210384544
SRCIN1	-3.682826761
FRMPD4	-5.270858829
SLC26A8	-4.296925692
ZNF831	-4.306118307
C16orf73	-3.374226461
EFNA4	2.482262496
GRM3	-3.63910042
SLC8A2	-5.024598267
TUBA8	-3.344746907
OTUD7A	-3.234735165
SYNJ2	-3.14150173
C5orf62	3.056535023
PDIA5	2.49190807
RPE65	4.01155895
CBX2	3.311789633
SEC61A2	-2.02254252
HOOK1	-4.583176675
HOXA9	6.410281427
EPHB6	-3.898927667
S100A2	3.320025458
GLS2	-4.0753019
BST1	2.692380667
LOC92973	-2.542517249
RIMBP2	-4.434679808
ELN	2.901550529
AMPH	-3.3796049
LIPE	-2.900946883
TRIM34	2.43290708
C6orf168	-2.362755109
LOX	4.165837432
C17orf87	2.979391557
PRRT2	-3.293558445
MPPED1	-5.135260585
TRIP13	2.251048251
TRIM17	-3.444933435
HOXC11	6.653026375
FAM124A	-2.493027539
SLC2A9	2.289932412
GRM2	-4.061409483
KLHL34	-4.011026294
ARHGAP15	2.549392061
HLA-DMB	2.904618111
SPINT2	-2.57265923
IBSP	5.179727609
LOC284578	-3.902190932
KNDC1	-3.514374774
SLC45A4	-2.001215298
FLNA	2.350493921
CHD5	-5.194354756
TMCC2	-2.815225622
ATP6V1G2	-3.03880242
CEP170L	-3.120297055
EPHA8	-4.297435141
ARPP21	-3.684544625
SYT7	-4.006394388
STAR	-3.331329465
DOC2A	-4.323321141
FAM176B	2.475227846
SORBS2	-2.772858791
MAP7D2	-4.612345276
LHX9	5.378428736
TBX2	2.367221553
SYN1	-4.239078701
KCNN1	-3.394124887
PSMB9	2.751155037
RAP1GAP2	-3.336593941
ADAMTS6	2.846809633
C1QL3	-5.362520327
TMEM130	-4.813216481
PTK2B	-2.369920397
TMEM154	2.737503074
KCNC1	-3.197584635
HOTAIR	6.360886432
ATP2B3	-5.12071675
STIL	2.050571404
WNT10B	-4.695277657
CEND1	-2.725475764
SLC6A17	-4.898322826
FCGR2B	4.453360081
C10orf81	5.669238386
AATK	-3.779657717
ITGA4	3.143133916
RUNX3	2.346365962
CD48	3.591012324
ANO3	-4.474432561
LOC100270710	2.395123545
SYNE1	-2.208304226
LOC644936	-4.28833591
FCGBP	3.573306676
SFRP4	3.75396045
CAMK2A	-4.897514206
C2orf55	-2.804411622
BZRAP1	-3.313012449
SLC47A2	4.253572824
FKBP1AP1	-2.581277825
TRIP6	2.041488668
ASPHD1	-2.942266592
LTF	6.249004186
HTR2A	-4.589544659
SHANK1	-4.506680316
CDC25A	2.715809183
S100A10	3.277850665
SOX11	3.596181415
LOC91149	-3.881468664
MPP2	-2.170245722
PNMA3	-3.956755165
SYT5	-4.113494861
GCSH	-2.782123053
PFKP	-2.003270922
RPS15A	2.122102341
HLA-DRA	3.04839381
RAB20	2.215084595
CCDC85A	-3.612806532
THEMIS	-3.524046267
RLTPR	-4.250253964
HOXC5	6.506690132
RBM47	2.689927944
B3GNT4	-3.813132934
TUBA4A	-3.124096878
DLGAP2	-4.98920608
HLA-DMA	2.536699269
PPP1R3B	2.39201446
NAT8L	-2.348991713
MAD2L1	2.460375154
KIF1A	-3.168706579
CHD3	-2.060186417
IL1R2	5.165456835
DNM3	-3.177987579
SSTR3	-5.202520758
HOXC13	6.325582094
LDB3	-3.977887414
GRIN2A	-4.527832929
HIST1H4J	3.660393834
FLJ35390	-2.579568127
GABBR1	-2.841164386
TRIM72	-4.242671502
C7orf41	-2.897091646
CAPG	2.322549659
UNC13A	-3.786497588
TES	2.105094707
TMEM151B	-3.766441125
IGFBP3	4.017891546
MGAT5B	-3.122338631
RHOF	-2.603726488
KCNJ9	-3.975763649
KIF17	-2.52058572
PALM2	-3.49869246
GPR68	-3.394430751
RPL39	2.653951903
TSPAN12	2.921538524
GBP1	3.25112038
SYNGR3	-4.047841907
GABRB2	-4.774704361
GLRB	-2.085805282
PLEKHH1	-3.125916644
RAB32	2.645684128
SH3TC2	-3.19077245
CDK5R1	-3.057308452
NDRG4	-2.402582973
SIX1	3.945470773
KCNE3	2.341198846
RELL2	-2.140154855
SPSB4	2.890133584
EXTL1	-3.216826096
ADCY1	-3.441130273
NXT2	2.011171479
FAAH	-2.944511696
PRMT8	-4.326461544
ENO2	-2.283613444
C14orf19	2.430857969
IL34	-2.910950937
PPP2R2C	-4.321525972
CDCA3	2.097843646
PROCR	2.352980482
C5orf39	2.874411792
CYP4X1	-3.856358072
KCNMB1	2.744328866
CSDA	2.045795928
ASIP	4.367552483
FAM129A	2.919259313
CLDN16	-3.786042168
KCNA2	-2.700860823
C6orf114	-2.76635795
CLEC4E	4.226987175
CXCR2	3.408475783
CALU	2.154437307
LOC286002	-4.736877998
BMF	2.434670942
NPAS4	-4.7970913
STK17A	2.279899834
SLC2A10	2.286676627
WNT8A	-3.951316804
ANKRD34C	-4.790868663
