Drugs,LSM_ID,LINK2,Drug_Repurposing_Hub,CLUE,Manual
AGK-2,LSM-43196,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-43196'>LSM-43196</a>,N/A,SIRT inhibitor,Selective SIRT2 inhibitor
agomelatine,LSM-45989,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45989'>LSM-45989</a>,#N/A,#N/A,#N/A
AGP-103,LSM-45755,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45755'>LSM-45755</a>,#N/A,#N/A,#N/A
AICA-ribonucleotide,LSM-4460,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4460'>LSM-4460</a>,#N/A,#N/A,#N/A
AKT-inhibitor-1-2,LSM-1035,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1035'>LSM-1035</a>,N/A,AKT inhibitor,Akt1 and Akt2 dual kinase inhibitors
alagebrium,LSM-45399,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45399'>LSM-45399</a>,#N/A,#N/A,#N/A
alaproclate,LSM-1333,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1333'>LSM-1333</a>,#N/A,#N/A,#N/A
albendazole,LSM-3782,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3782'>LSM-3782</a>,#N/A,#N/A,#N/A
alectinib,LSM-1202,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1202'>LSM-1202</a>,#N/A,#N/A,#N/A
alisertib,LSM-37184,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-37184'>LSM-37184</a>,#N/A,#N/A,#N/A
aliskiren,LSM-2653,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2653'>LSM-2653</a>,#N/A,#N/A,#N/A
alizapride,LSM-4953,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4953'>LSM-4953</a>,#N/A,#N/A,#N/A
allopurinol,LSM-5919,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5919'>LSM-5919</a>,#N/A,#N/A,#N/A
almitrine,LSM-45641,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45641'>LSM-45641</a>,#N/A,#N/A,#N/A
almorexant,LSM-45611,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45611'>LSM-45611</a>,#N/A,#N/A,#N/A
alpelisib,LSM-4256,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4256'>LSM-4256</a>,#N/A,#N/A,#N/A
alprostadil,LSM-45530,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45530'>LSM-45530</a>,#N/A,#N/A,#N/A
altanserin,LSM-1987,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1987'>LSM-1987</a>,#N/A,#N/A,#N/A
altrenogest,LSM-45810,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45810'>LSM-45810</a>,#N/A,#N/A,#N/A
altretamine,LSM-3492,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3492'>LSM-3492</a>,#N/A,#N/A,#N/A
alvespimycin,LSM-43241,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-43241'>LSM-43241</a>,#N/A,#N/A,#N/A
alvimopan,LSM-45414,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45414'>LSM-45414</a>,#N/A,#N/A,#N/A
alvocidib,LSM-1011,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1011'>LSM-1011</a>,CDK inhibitor,CDK inhibitor,N/A
ALW-II-38-3,LSM-1002,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1002'>LSM-1002</a>,N/A,Ephrin inhibitor,potent inhibitor of EPH family kinases
ALW-II-49-7,LSM-1003,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1003'>LSM-1003</a>,N/A,Ephrin inhibitor,N/A
ALX-5407,LSM-3197,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3197'>LSM-3197</a>,#N/A,#N/A,#N/A
AM-24,LSM-45809,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45809'>LSM-45809</a>,#N/A,#N/A,#N/A
amantadine,LSM-3571,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3571'>LSM-3571</a>,#N/A,#N/A,#N/A
ambrisentan,LSM-45789,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45789'>LSM-45789</a>,#N/A,#N/A,#N/A
ambroxol,LSM-3260,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3260'>LSM-3260</a>,#N/A,#N/A,#N/A
amcinonide,LSM-1487,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1487'>LSM-1487</a>,#N/A,#N/A,#N/A
AMD-11070,LSM-45591,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45591'>LSM-45591</a>,#N/A,#N/A,#N/A
amfepramone,LSM-5038,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5038'>LSM-5038</a>,#N/A,#N/A,#N/A
AMG-208,LSM-45438,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45438'>LSM-45438</a>,#N/A,#N/A,#N/A
AMG-232,LSM-45882,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45882'>LSM-45882</a>,#N/A,#N/A,#N/A
AMG-487,LSM-45938,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45938'>LSM-45938</a>,#N/A,#N/A,#N/A
AMG-517,LSM-45865,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45865'>LSM-45865</a>,#N/A,#N/A,#N/A
AMG-837,LSM-45945,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45945'>LSM-45945</a>,#N/A,#N/A,#N/A
amikacin,LSM-45899,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45899'>LSM-45899</a>,#N/A,#N/A,#N/A
amiloride,LSM-4194,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4194'>LSM-4194</a>,#N/A,#N/A,#N/A
amineptine,LSM-45457,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45457'>LSM-45457</a>,#N/A,#N/A,#N/A
aminocaproic-acid,LSM-5733,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5733'>LSM-5733</a>,#N/A,#N/A,#N/A
aminoglutethimide,LSM-1409,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1409'>LSM-1409</a>,#N/A,#N/A,#N/A
aminoguanidine,LSM-45273,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45273'>LSM-45273</a>,#N/A,#N/A,#N/A
aminosalicylic-acid,LSM-5862,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5862'>LSM-5862</a>,#N/A,#N/A,#N/A
amiodarone,LSM-2379,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2379'>LSM-2379</a>,#N/A,#N/A,#N/A
amiprilose,LSM-45702,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45702'>LSM-45702</a>,#N/A,#N/A,#N/A
amitifadine,LSM-45748,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45748'>LSM-45748</a>,#N/A,#N/A,#N/A
amitriptyline,LSM-3190,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3190'>LSM-3190</a>,#N/A,#N/A,#N/A
amlexanox,LSM-5432,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5432'>LSM-5432</a>,#N/A,#N/A,#N/A
amlodipine,LSM-1388,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1388'>LSM-1388</a>,#N/A,#N/A,#N/A
ammonium-glycyrrhizinate,LSM-46003,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-46003'>LSM-46003</a>,#N/A,#N/A,#N/A
amodiaquine,LSM-4042,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4042'>LSM-4042</a>,#N/A,#N/A,#N/A
amonafide,LSM-5667,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5667'>LSM-5667</a>,#N/A,#N/A,#N/A
amoxapine,LSM-2021,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2021'>LSM-2021</a>,#N/A,#N/A,#N/A
ampalex,LSM-45388,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45388'>LSM-45388</a>,#N/A,#N/A,#N/A
amrinone,LSM-6600,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-6600'>LSM-6600</a>,#N/A,#N/A,#N/A
amsacrine,LSM-45972,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45972'>LSM-45972</a>,#N/A,#N/A,#N/A
amtolmetin-guacil,LSM-45395,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45395'>LSM-45395</a>,#N/A,#N/A,#N/A
amuvatinib,LSM-1118,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1118'>LSM-1118</a>,"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, RAD51 inhibitor, RET tyrosine kinase inhibitor",N/A,N/A
anacardic-acid,LSM-6320,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-6320'>LSM-6320</a>,N/A,N/A,Noncompetitive PCAF/p300 inhibitor
anacetrapib,LSM-45618,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45618'>LSM-45618</a>,#N/A,#N/A,#N/A
anagrelide,LSM-3380,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3380'>LSM-3380</a>,#N/A,#N/A,#N/A
anamorelin,LSM-45737,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45737'>LSM-45737</a>,#N/A,#N/A,#N/A
anandamide,LSM-43816,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-43816'>LSM-43816</a>,#N/A,#N/A,#N/A
anastrozole,LSM-5631,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5631'>LSM-5631</a>,#N/A,#N/A,#N/A
andarine,LSM-5880,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5880'>LSM-5880</a>,#N/A,#N/A,#N/A
andrographolide,LSM-45595,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45595'>LSM-45595</a>,#N/A,#N/A,#N/A
anecortave-acetate,LSM-45607,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45607'>LSM-45607</a>,#N/A,#N/A,#N/A
anidulafungin,LSM-45534,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45534'>LSM-45534</a>,#N/A,#N/A,#N/A
aniracetam,LSM-3969,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3969'>LSM-3969</a>,#N/A,#N/A,#N/A
anisodamine,LSM-45481,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45481'>LSM-45481</a>,#N/A,#N/A,#N/A
AP-26113,LSM-45408,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45408'>LSM-45408</a>,#N/A,#N/A,#N/A
apabetalone,LSM-45724,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45724'>LSM-45724</a>,#N/A,#N/A,#N/A
apafant,LSM-2613,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2613'>LSM-2613</a>,#N/A,#N/A,#N/A
APD-668,LSM-45930,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45930'>LSM-45930</a>,#N/A,#N/A,#N/A
aphidicolin,LSM-45486,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45486'>LSM-45486</a>,#N/A,#N/A,#N/A
API-001,LSM-45440,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45440'>LSM-45440</a>,#N/A,#N/A,#N/A
apixaban,LSM-45660,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45660'>LSM-45660</a>,#N/A,#N/A,#N/A
apocynin,LSM-45904,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45904'>LSM-45904</a>,#N/A,#N/A,#N/A
apremilast,LSM-45894,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45894'>LSM-45894</a>,#N/A,#N/A,#N/A
aprepitant,LSM-45261,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45261'>LSM-45261</a>,#N/A,#N/A,#N/A
AR-A014418,LSM-3514,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3514'>LSM-3514</a>,#N/A,#N/A,#N/A
arbutin,LSM-5255,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5255'>LSM-5255</a>,#N/A,#N/A,#N/A
argatroban,LSM-45272,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45272'>LSM-45272</a>,#N/A,#N/A,#N/A
arglabin,LSM-45693,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45693'>LSM-45693</a>,#N/A,#N/A,#N/A
aripiprazole,LSM-5776,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5776'>LSM-5776</a>,#N/A,#N/A,#N/A
armodafinil,LSM-45603,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45603'>LSM-45603</a>,#N/A,#N/A,#N/A
ARN-509,LSM-45475,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45475'>LSM-45475</a>,#N/A,#N/A,#N/A
arofylline,LSM-45271,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45271'>LSM-45271</a>,#N/A,#N/A,#N/A
ARP-101,LSM-3648,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3648'>LSM-3648</a>,#N/A,#N/A,#N/A
ARRY-334543,LSM-45403,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45403'>LSM-45403</a>,#N/A,#N/A,#N/A
artesunate,LSM-45731,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45731'>LSM-45731</a>,#N/A,#N/A,#N/A
AS-601245,LSM-1034,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1034'>LSM-1034</a>,N/A,JNK inhibitor,"Cell-permeable potent, selective, ATP competitive JNK inhibitor"
AS-605240,LSM-42784,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-42784'>LSM-42784</a>,N/A,PI3K inhibitor,Potent and selective PI 3-kinase _ (PI 3-K_) inhibitor
AS-703026,LSM-5946,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5946'>LSM-5946</a>,#N/A,#N/A,#N/A
ASA-404,LSM-45482,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45482'>LSM-45482</a>,#N/A,#N/A,#N/A
ASC-J9,LSM-45642,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45642'>LSM-45642</a>,#N/A,#N/A,#N/A
asenapine,LSM-45575,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45575'>LSM-45575</a>,#N/A,#N/A,#N/A
aspirin,LSM-5288,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5288'>LSM-5288</a>,#N/A,#N/A,#N/A
AST-1306,LSM-1225,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1225'>LSM-1225</a>,#N/A,#N/A,#N/A
asymmetrical-dimethylarginine,LSM-45294,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45294'>LSM-45294</a>,#N/A,#N/A,#N/A
AT-13387,LSM-45514,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45514'>LSM-45514</a>,#N/A,#N/A,#N/A
AT-7519,LSM-1004,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1004'>LSM-1004</a>,CDK inhibitor,CDK inhibitor,N/A
AT7867,LSM-1155,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1155'>LSM-1155</a>,AKT inhibitor,N/A,N/A
AT-9283,LSM-37023,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-37023'>LSM-37023</a>,#N/A,#N/A,#N/A
ataluren,LSM-5991,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5991'>LSM-5991</a>,#N/A,#N/A,#N/A
atenolol-(+/-),LSM-4355,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4355'>LSM-4355</a>,#N/A,#N/A,#N/A
atipamezole,LSM-45983,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45983'>LSM-45983</a>,#N/A,#N/A,#N/A
ATN-161,LSM-45295,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45295'>LSM-45295</a>,#N/A,#N/A,#N/A
atomoxetine,LSM-2452,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2452'>LSM-2452</a>,#N/A,#N/A,#N/A
atorvastatin,LSM-5771,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5771'>LSM-5771</a>,#N/A,#N/A,#N/A
atovaquone,LSM-44955,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-44955'>LSM-44955</a>,#N/A,#N/A,#N/A
atracurium,LSM-45935,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45935'>LSM-45935</a>,#N/A,#N/A,#N/A
atrasentan,LSM-45787,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45787'>LSM-45787</a>,#N/A,#N/A,#N/A
aurora-a-inhibitor-i,LSM-1065,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1065'>LSM-1065</a>,#N/A,#N/A,#N/A
AV-412,LSM-45753,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45753'>LSM-45753</a>,#N/A,#N/A,#N/A
AV-608,LSM-45650,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45650'>LSM-45650</a>,#N/A,#N/A,#N/A
avagacestat,LSM-45535,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45535'>LSM-45535</a>,#N/A,#N/A,#N/A
avanafil,LSM-45456,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45456'>LSM-45456</a>,#N/A,#N/A,#N/A
avasimibe,LSM-45417,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45417'>LSM-45417</a>,#N/A,#N/A,#N/A
AVL-292,LSM-45948,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45948'>LSM-45948</a>,#N/A,#N/A,#N/A
AVN-944,LSM-45510,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45510'>LSM-45510</a>,#N/A,#N/A,#N/A
AZ-20,LSM-36357,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-36357'>LSM-36357</a>,#N/A,#N/A,#N/A
AZ-628,LSM-1050,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1050'>LSM-1050</a>,RAF inhibitor,RAF inhibitor,N/A
